,benchmark,dataset,name,run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,cBench,1,consumer_jpeg_d,0,0.0921,0.0961,0.0961,0.0921,0.0921,0.0761,0.0841,0.0921,0.1001,0.0961,0.0601,0.0961,0.0841,0.0601,0.0641,0.0961,0.0881,0.0881,0.0521,0.0961,0.0841,0.1041,0.0961,0.0601,0.0841,0.0921,0.0721,0.1001,0.0721,0.1001,0.1001,0.0961,0.1041,0.0641,0.0881,0.0881,0.0881,0.0921,0.0721,0.0921,0.0841,0.0961,0.0841,0.0921,0.0961,0.0641,0.0881,0.1001,0.0841,0.0961,0.1001,0.0761,0.0841,0.0961,0.0841,0.0761,0.0881,0.0881,0.0881,0.0641,0.0801,0.0921,0.0881,0.0681,0.0921,0.1001,0.1001,0.0641,0.0921,0.0881,0.1041,0.0881,0.0961,0.0881,0.0801,0.0921,0.0921,0.0921,0.0841,0.0801,0.0961,0.0961,0.0721,0.0761,0.0961,0.0801,0.0801,0.0961,0.0881,0.0681,0.0881,0.0641,0.0921,0.0921,0.0921,0.0641,0.0961,0.0801,0.0961,0.0961,0.0961,0.0921,0.1041,0.1001,0.0961,0.0841,0.0881,0.0801,0.0961,0.0601,0.0921,0.0921,0.0801,0.0841,0.0641,0.0961,0.0801,0.0961,0.0601,0.0801,0.0841,0.0961,0.0961,0.0921,0.1001,0.0801,0.0961,0.0961
11,cBench,2,consumer_jpeg_d,0,0.1481,0.1401,0.1361,0.1361,0.1361,0.1601,0.1601,0.1321,0.1361,0.1561,0.1361,0.1201,0.1441,0.1401,0.1641,0.1641,0.1681,0.1361,0.1401,0.1561,0.1321,0.1521,0.1441,0.1561,0.1321,0.1401,0.1521,0.1441,0.1241,0.1401,0.1481,0.1401,0.1161,0.1401,0.1601,0.0761,0.1561,0.1521,0.1441,0.1561,0.1601,0.1041,0.1481,0.1481,0.1401,0.1521,0.1601,0.1441,0.1561,0.1481,0.1561,0.1681,0.0881,0.1641,0.1401,0.1481,0.1281,0.1161,0.0681,0.1201,0.1161,0.1561,0.1441,0.1361,0.1561,0.1681,0.1601,0.1641,0.1641,0.1481,0.1481,0.1481,0.1401,0.1521,0.1481,0.1441,0.1241,0.1601,0.1481,0.1481,0.1601,0.1161,0.1281,0.1481,0.1601,0.1441,0.1601,0.1561,0.1481,0.1441,0.1201,0.1641,0.1441,0.1441,0.1241,0.1041,0.1281,0.1601,0.1401,0.1601,0.1601,0.1561,0.1401,0.1681,0.1321,0.1521,0.1641,0.1161,0.1601,0.1561,0.1321,0.1441,0.1601,0.1521,0.1641,0.1681,0.1481,0.1481,0.1601,0.1521,0.0801,0.1641,0.1161,0.1441,0.1561,0.1401,0.1161,0.1601
12,cBench,3,consumer_jpeg_d,0,12.3121,12.0641,12.7641,12.4121,11.9121,12.1881,12.3881,12.2641,12.9081,12.3681,12.2641,12.2681,12.4761,12.3241,12.7001,12.9081,12.9761,12.8201,12.9601,12.2441,12.3041,12.3841,12.2921,12.2801,12.1801,12.3681,12.5001,12.3081,12.3961,12.6481,12.8881,13.0961,13.0201,12.9441,12.2001,12.2881,12.2601,12.1841,12.2201,12.2281,12.3081,12.4641,12.3481,12.3921,12.9721,12.7321,12.4721,12.6721,12.8761,12.3321,12.9801,12.8881,12.9481,12.6441,12.2641,12.1041,12.2601,12.3801,12.4081,12.4161,12.2681,12.2601,12.2561,12.4681,12.8721,12.6881,12.4161,12.8881,12.9041,12.5401,12.9161,12.8921,12.9841,12.7801,12.1561,12.2041,12.3041,12.4641,12.4041,12.3601,11.7001,12.2041,12.3281,12.4161,12.8881,12.5761,12.8761,12.3761,12.7401,12.3281,12.5881,11.1561,12.5841,12.7681,12.0121,12.2641,12.2561,12.3801,12.2241,12.8961,12.6761,12.8881,12.4321,12.7121,12.3761,12.4801,12.9081,12.6641,12.6641,12.1561,12.3521,12.3681,12.3521,12.2321,12.5081,12.8601,12.6161,12.6361,12.5961,12.2801,12.6441,12.9241,12.6161,12.4281,12.5241,12.2641,12.5681,12.7001
13,cBench,4,consumer_jpeg_d,0,0.4841,0.5081,0.4441,0.4881,0.5441,0.5441,0.4961,0.5321,0.3481,0.5441,0.4801,0.5201,0.5321,0.5161,0.5561,0.5681,0.5321,0.5641,0.4681,0.5281,0.4921,0.5521,0.4761,0.5201,0.5681,0.5121,0.5441,0.5121,0.5441,0.5481,0.3601,0.5561,0.5361,0.5201,0.3601,0.5321,0.5361,0.5201,0.5601,0.4921,0.5001,0.4921,0.5281,0.5321,0.5761,0.5601,0.5361,0.5801,0.5681,0.5441,0.5281,0.5961,0.5761,0.5281,0.5281,0.5401,0.5361,0.5001,0.5841,0.5361,0.5121,0.5961,0.5161,0.4961,0.5521,0.5681,0.5361,0.5841,0.5641,0.5961,0.5761,0.5481,0.5241,0.5481,0.5201,0.4921,0.3961,0.5281,0.5401,0.4801,0.5401,0.5281,0.5121,0.5321,0.5681,0.5441,0.4441,0.5201,0.5121,0.5281,0.5481,0.5281,0.5601,0.5201,0.5241,0.5281,0.5801,0.5161,0.5321,0.5401,0.4561,0.4961,0.5521,0.5801,0.5321,0.5441,0.4841,0.5361,0.5161,0.5241,0.5081,0.4081,0.5001,0.5001,0.5281,0.5521,0.5161,0.5481,0.4601,0.5361,0.3481,0.5641,0.5281,0.5121,0.5561,0.5361,0.4801,0.3441
14,cBench,5,consumer_jpeg_d,0,0.0361,0.0441,0.0321,0.0441,0.0201,0.0401,0.0361,0.0361,0.0361,0.0321,0.0361,0.0361,0.0321,0.0321,0.0401,0.0401,0.0241,0.0361,0.0361,0.0401,0.0401,0.0321,0.0401,0.0361,0.0361,0.0361,0.0321,0.0321,0.0361,0.0401,0.0321,0.0321,0.0401,0.0361,0.0281,0.0321,0.0401,0.0321,0.0361,0.0401,0.0321,0.0321,0.0241,0.0401,0.0401,0.0321,0.0361,0.0401,0.0321,0.0361,0.0361,0.0281,0.0401,0.0401,0.0401,0.0321,0.0361,0.0361,0.0241,0.0281,0.0321,0.0281,0.0361,0.0401,0.0401,0.0401,0.0361,0.0401,0.0321,0.0361,0.0401,0.0361,0.0401,0.0361,0.0361,0.0401,0.0401,0.0321,0.0361,0.0321,0.0321,0.0361,0.0321,0.0321,0.0201,0.0361,0.0321,0.0361,0.0321,0.0361,0.0361,0.0441,0.0401,0.0401,0.0361,0.0361,0.0401,0.0321,0.0361,0.0441,0.0321,0.0441,0.0321,0.0401,0.0401,0.0361,0.0321,0.0401,0.0361,0.0361,0.0401,0.0361,0.0361,0.0281,0.0321,0.0401,0.0281,0.0441,0.0361,0.0361,0.0361,0.0361,0.0361,0.0401,0.0401,0.0241,0.0361,0.0321
15,cBench,1,security_rijndael_d,0,0.0121,0.0121,0.0081,0.0081,0.0081,0.0081,0.0081,0.0121,0.0081,0.0161,0.0081,0.0121,0.0081,0.0081,0.0161,0.0081,0.0121,0.0041,0.0121,0.0081,0.0081,0.0081,0.0161,0.0081,0.0041,0.0161,0.0081,0.0121,0.0081,0.0081,0.0081,0.0081,0.0121,0.0121,0.0081,0.0081,0.0081,0.0121,0.0121,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0121,0.0081,0.0161,0.0121,0.0081,0.0121,0.0081,0.0081,0.0041,0.0081,0.0081,0.0081,0.0121,0.0081,0.0121,0.0081,0.0121,0.0081,0.0081,0.0081,0.0081,0.0121,0.0121,0.0121,0.0121,0.0081,0.0081,0.0081,0.0121,0.0121,0.0081,0.0121,0.0161,0.0121,0.0121,0.0121,0.0161,0.0081,0.0081,0.0081,0.0081,0.0121,0.0081,0.0081,0.0161,0.0121,0.0081,0.0081,0.0161,0.0121,0.0081,0.0121,0.0041,0.0081,0.0081,0.0081,0.0161,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0121,0.0121,0.0161,0.0081,0.0081,0.0161,0.0121,0.0121,0.0121,0.0121,0.0081,0.0121,0.0161,0.0081,0.0161,0.0121,0.0081,0.0161
16,cBench,2,security_rijndael_d,0,0.0841,0.0641,0.0721,0.0801,0.0601,0.0681,0.0841,0.0841,0.0641,0.0601,0.0681,0.0881,0.0681,0.0841,0.0881,0.0721,0.1081,0.0801,0.0601,0.0761,0.0841,0.0761,0.0801,0.0641,0.0841,0.0801,0.0761,0.0841,0.0801,0.0881,0.0401,0.0881,0.0881,0.0961,0.0721,0.0761,0.0841,0.0841,0.0801,0.0801,0.0441,0.0841,0.0801,0.0441,0.0441,0.0881,0.0761,0.0641,0.0601,0.0761,0.0601,0.0961,0.0801,0.0801,0.0801,0.0761,0.0841,0.0721,0.0441,0.0441,0.0641,0.0921,0.0881,0.0721,0.0761,0.0721,0.0641,0.0761,0.0881,0.0881,0.0681,0.0841,0.0921,0.0841,0.0801,0.0761,0.0801,0.0801,0.0641,0.0801,0.0681,0.0681,0.0841,0.0801,0.0641,0.0641,0.0761,0.0721,0.0841,0.0681,0.0641,0.0801,0.0841,0.0841,0.0841,0.0681,0.0441,0.0801,0.0841,0.0841,0.0681,0.0841,0.0641,0.0841,0.0601,0.0641,0.0921,0.0801,0.0761,0.0881,0.0841,0.0681,0.0761,0.0841,0.0801,0.0841,0.0881,0.0881,0.0881,0.0881,0.0801,0.0841,0.0841,0.0401,0.0921,0.0841,0.0881,0.0761
17,cBench,3,security_rijndael_d,0,0.1721,0.1801,0.1881,0.1921,0.1761,0.1961,0.1921,0.1881,0.1641,0.1961,0.1801,0.1801,0.1761,0.1921,0.1841,0.1641,0.1801,0.2041,0.1881,0.1841,0.1961,0.2041,0.2041,0.1921,0.1521,0.1601,0.1641,0.1481,0.1881,0.2001,0.1881,0.1761,0.2041,0.1841,0.1961,0.1401,0.1921,0.1841,0.1761,0.1841,0.2081,0.1601,0.2001,0.1961,0.1921,0.1961,0.1881,0.2001,0.1921,0.1881,0.2121,0.1841,0.2041,0.1841,0.1801,0.1881,0.1921,0.1841,0.2001,0.1721,0.1881,0.1441,0.1881,0.1801,0.1481,0.1841,0.2241,0.2001,0.1561,0.2081,0.2121,0.1921,0.1961,0.1921,0.1881,0.2041,0.1641,0.1881,0.1881,0.1681,0.1561,0.1721,0.1921,0.1641,0.1921,0.1681,0.1921,0.1961,0.1401,0.1041,0.1041,0.2041,0.1441,0.1841,0.1721,0.1921,0.1561,0.1841,0.1881,0.1761,0.1801,0.1481,0.1721,0.1481,0.1601,0.1601,0.1881,0.0961,0.1841,0.1921,0.1681,0.1961,0.1961,0.1961,0.1681,0.1961,0.2001,0.1881,0.1961,0.1961,0.1841,0.1521,0.1561,0.1481,0.2081,0.1721,0.1521,0.2041
18,cBench,4,security_rijndael_d,0,4.1801,4.2641,4.2761,4.2761,4.2161,3.0041,2.7921,3.3561,4.2881,4.1721,4.2041,4.2201,4.1921,4.3881,4.1721,3.7401,4.2801,4.2401,3.6561,4.2761,4.2961,4.1641,4.5921,4.1561,4.2681,4.4721,4.2201,3.7161,4.3721,3.6921,4.2721,4.4721,4.2401,4.3321,4.3921,4.3521,4.2681,4.5481,4.2881,3.2321,4.5601,4.4001,4.4281,4.5201,4.3961,4.3521,4.2681,4.5441,4.3321,4.2001,3.0281,4.4521,4.3561,4.2401,4.3121,4.1601,4.5081,2.8721,4.4361,4.4521,4.2841,4.5001,5.2041,4.2881,4.2321,2.9201,4.2761,3.0641,4.3961,4.2441,4.6481,4.3761,4.4001,5.2201,4.2241,4.2961,3.1361,4.3361,4.4681,4.3241,2.8561,4.6241,4.3681,4.2681,2.9601,4.4201,4.4681,4.3801,4.4241,2.8041,4.2281,4.4801,4.4921,4.3921,4.2321,4.4881,4.3641,4.4081,4.6121,4.2401,4.2881,4.4601,4.2961,4.6041,4.3001,4.3401,4.4161,4.6361,4.4641,4.5441,4.5201,4.4321,4.5681,4.4761,4.3321,4.5521,4.7201,4.3281,4.6961,4.4761,4.2681,4.4921,4.6681,4.3841,4.6201,4.4161,4.5161,4.6641
19,cBench,5,security_rijndael_d,0,0.3241,0.3641,0.3121,0.3281,0.3361,0.3041,0.3561,0.3281,0.3121,0.3361,0.3521,0.3721,0.2961,0.3681,0.3201,0.2601,0.3401,0.3121,0.3481,0.3601,0.3481,0.3081,0.3881,0.3641,0.3401,0.2961,0.3241,0.3921,0.2761,0.2641,0.3721,0.2561,0.3601,0.3201,0.3681,0.3561,0.3361,0.3481,0.2161,0.3321,0.3401,0.1841,0.3561,0.3561,0.3481,0.3361,0.3441,0.1961,0.2601,0.1881,0.2081,0.3401,0.2761,0.3481,0.2881,0.3321,0.3241,0.2801,0.3361,0.3281,0.3641,0.3601,0.3601,0.3601,0.3601,0.3361,0.3161,0.3161,0.3441,0.3361,0.2921,0.3441,0.3721,0.3361,0.3201,0.3481,0.1961,0.3321,0.3201,0.3641,0.3321,0.2001,0.3601,0.3601,0.3281,0.3361,0.3161,0.3521,0.3121,0.3321,0.3521,0.3881,0.3241,0.3521,0.3321,0.3841,0.3401,0.3041,0.2641,0.3321,0.3001,0.3761,0.3641,0.3241,0.3161,0.3681,0.2801,0.3561,0.3361,0.3241,0.3641,0.3641,0.3681,0.3441,0.3441,0.3841,0.3201,0.3401,0.3361,0.3201,0.3241,0.3481,0.3601,0.3521,0.3561,0.3681,0.3441,0.3521
